folder_num,error
1,17.41987459
2,17.67822451
3,18.18624243
4,17.81271915
5,19.81575103
6,19.30253554
7,18.05407238
8,17.38604068
9,18.32837937
10,18.64419001
11,18.31674757
12,19.32418363
13,18.51891227356652
14,19.206885436428827
15,17.568294571700257
16,17.38443237763923
17,17.420087877459892
18,18.074477838185786
19,18.909982343467725
20,18.126813710139384
21,18.123830801541438
